iter	Passed	Remaining
782	4948	1371
783	4954	1364
784	4961	1358
785	4966	1352
786	4972	1345
787	4978	1339
788	4984	1333
789	4990	1326
790	4996	1320
791	5002	1313
792	5009	1307
793	5014	1301
794	5020	1294
795	5027	1288
796	5033	1282
797	5039	1275
798	5045	1269
799	5052	1263
800	5058	1256
801	5064	1250
802	5070	1243
803	5077	1237
804	5083	1231
805	5089	1225
806	5095	1218
807	5101	1212
808	5107	1205
809	5113	1199
810	5119	1193
811	5125	1186
812	5131	1180
813	5138	1174
814	5144	1167
815	5150	1161
816	5157	1155
817	5163	1148
818	5169	1142
819	5175	1136
820	5181	1129
821	5187	1123
822	5194	1117
823	5199	1110
824	5206	1104
825	5212	1097
826	5218	1091
827	5223	1085
828	5231	1079
829	5236	1072
830	5242	1066
831	5248	1059
832	5254	1053
833	5260	1047
834	5266	1040
835	5272	1034
836	5279	1028
837	5284	1021
838	5290	1015
839	5295	1008
840	5301	1002
841	5308	996
842	5314	989
843	5319	983
844	5326	977
845	5332	970
846	5338	964
847	5344	958
848	5351	951
849	5358	945
850	5363	939
851	5369	932
852	5376	926
853	5383	920
854	5389	914
855	5395	907
856	5402	901
857	5408	895
858	5414	888
859	5420	882
860	5426	876
861	5432	869
862	5437	863
863	5443	856
864	5449	850
865	5455	844
866	5462	837
867	5468	831
868	5474	825
869	5481	819
870	5486	812
871	5493	806
872	5499	800
873	5506	793
874	5513	787
875	5518	781
876	5524	774
877	5531	768
878	5537	762
879	5543	755
880	5549	749
881	5556	743
882	5562	736
883	5568	730
884	5575	724
885	5581	718
886	5587	711
887	5594	705
888	5599	699
889	5605	692
890	5611	686
891	5617	680
892	5624	673
893	5630	667
894	5636	661
895	5642	654
896	5648	648
897	5654	642
898	5660	635
899	5666	629
900	5672	623
901	5679	617
902	5685	610
903	5691	604
904	5697	598
905	5703	591
906	5709	585
907	5716	579
908	5723	573
909	5729	566
910	5736	560
911	5742	554
912	5748	547
913	5754	541
914	5761	535
915	5768	528
916	5775	522
917	5782	516
918	5789	510
919	5795	503
920	5801	497
921	5807	491
922	5813	484
923	5820	478
924	5826	472
925	5831	466
926	5838	459
927	5844	453
928	5850	447
929	5856	440
930	5861	434
931	5868	428
932	5874	421
933	5880	415
934	5887	409
935	5894	403
936	5900	396
937	5906	390
938	5912	384
939	5919	377
940	5925	371
941	5931	365
942	5938	358
943	5944	352
944	5950	346
945	5957	340
946	5963	333
947	5969	327
948	5975	321
949	5981	314
950	5987	308
951	5993	302
952	5999	295
953	6006	289
954	6011	283
955	6018	276
956	6024	270
957	6030	264
958	6036	258
959	6042	251
960	6047	245
961	6054	239
962	6059	232
963	6065	226
964	6072	220
965	6078	213
966	6084	207
967	6090	201
968	6097	195
969	6103	188
970	6110	182
971	6115	176
972	6121	169
973	6128	163
974	6134	157
975	6140	150
976	6146	144
977	6152	138
978	6158	132
979	6163	125
980	6170	119
981	6176	113
982	6182	106
983	6188	100
984	6195	94
985	6202	88
986	6208	81
987	6214	75
988	6220	69
989	6226	62
990	6232	56
991	6238	50
992	6244	44
993	6250	37
994	6256	31
995	6262	25
996	6269	18
997	6276	12
998	6282	6
999	6287	0
